Model,Train_accuracy,Test_accuracy,F1_score
SVC,0.9965699208443272,0.9476923076923077,0.9632511889321228
Ada Boost,0.8369393139841689,0.812923076923077,0.8732276897414512
Random Forest,0.8010554089709763,0.7932307692307692,0.8697674418604652
Gradient Boost,0.8097625329815303,0.7876923076923077,0.862604540023895
Decision tree,0.7783641160949868,0.7624615384615384,0.8380872483221476
Votting classifier,0.7717678100263852,0.7156923076923077,0.832
Logistic regression,0.712401055408971,0.7027692307692308,0.813441483198146
