Model,Train_accuracy,Test_accuracy,F1_score
SVC,0.9941952506596307,0.944,0.944
Gradient Boost,0.8277044854881267,0.8092307692307692,0.8092307692307692
Decision tree,0.7522427440633246,0.7526153846153846,0.7526153846153845
Random Forest,0.7464379947229551,0.7409230769230769,0.7409230769230769
Ada Boost,0.7319261213720316,0.7218461538461538,0.7218461538461538
Votting classifier,0.7403693931398417,0.7156923076923077,0.7156923076923077
Logistic regression,0.7015831134564644,0.7021538461538461,0.7021538461538461
