Model,Train_accuracy,Test_accuracy,F1_score
SVC,0.9951845906902087,0.9269662921348315,0.9269662921348315
Gradient Boost,0.795880149812734,0.7709113607990012,0.7709113607990012
Random Forest,0.7011771000535045,0.7009987515605494,0.7009987515605494
Decision tree,0.7070626003210273,0.6991260923845194,0.6991260923845194
Logistic regression,0.6602461209202782,0.6697877652933832,0.6697877652933832
Votting classifier,0.6947565543071161,0.6685393258426966,0.6685393258426966
Ada Boost,0.6586409844836811,0.6392009987515606,0.6392009987515606
