Model,Train_accuracy,Test_accuracy,F1_score
SVC,0.9962546816479401,0.9238451935081149,0.9442413162705667
Gradient Boost,0.7782236490101658,0.7484394506866417,0.8321532694710538
Ada Boost,0.8207597645799893,0.7659176029962547,0.832064487236901
Random Forest,0.7308721241305511,0.7203495630461922,0.8226444972288204
Decision tree,0.723916532905297,0.7240948813982522,0.8222043443282381
Votting classifier,0.7589620117710005,0.6785268414481898,0.8051456678017405
Logistic regression,0.6811128945960406,0.66541822721598,0.7805077805077805
