Model,Train_accuracy,Test_accuracy,F1_score
SVC,0.9979861910241657,0.9711409395973154,0.9711409395973154
Gradient Boost,0.8521288837744534,0.8335570469798658,0.8335570469798658
Random Forest,0.8213463751438435,0.8100671140939597,0.8100671140939597
Decision tree,0.7991944764096662,0.7959731543624161,0.7959731543624161
Votting classifier,0.821921749136939,0.7906040268456376,0.7906040268456376
Logistic regression,0.7704257767548907,0.7758389261744967,0.7758389261744967
Ada Boost,0.6047180667433832,0.6087248322147651,0.6087248322147651
